bluloco-dark	false	#3476ff	#25a45c	#b9c0cb	#282c34	#3476ff	#8f9aae	#8f9aae	#fc2f52	#ff936a	#7a82da	#282c34	#343840	#2e323a
bluloco-light	true	#275fe4	#23974a	#373a41	#f9f9f9	#275fe4	#676a77	#676a77	#d52753	#df631c	#823ff1	#f9f9f9	#eaeaea	#f1f1f1
borland	false	#96cbfe	#a8ff60	#ffff4e	#0000a4	#96cbfe	#7c7c7c	#7c7c7c	#ff6c60	#ffffb6	#ff73fd	#0000a4	#0f0fa9	#0707a6
box	false	#0d73cc	#19cb00	#9fef00	#141d2b	#0d73cc	#767676	#767676	#cc0403	#cecb00	#cb1ed1	#141d2b	#222a37	#1b2331
branch	false	#3b8e8c	#96a65e	#cfc1a9	#32221a	#3b8e8c	#564a45	#564a45	#c2562d	#d29b5a	#c47e5b	#32221a	#3e2f27	#382820
breadog	true	#005cb4	#007232	#362c24	#f1ebe6	#005cb4	#514337	#514337	#b10b00	#8b4c00	#9b0097	#f1ebe6	#e2dcd8	#e9e3df
breeze	false	#1d99f3	#11d116	#eff0f1	#31363b	#1d99f3	#7f8c8d	#7f8c8d	#ed1515	#f67400	#9b59b6	#31363b	#3d4246	#373c40
bright-lights	false	#76d4ff	#b7e876	#b3c9d7	#191919	#76d4ff	#4c4c4c	#4c4c4c	#ff355b	#ffc251	#ba76e7	#191919	#262626	#1f1f1f
broadcast	false	#6d9cbe	#519f50	#e6e1dc	#2b2b2b	#6d9cbe	#585858	#585858	#da4939	#ffd24a	#d0d0ff	#2b2b2b	#373737	#313131
brogrammer	false	#2a84d2	#2dc55e	#d6dbe5	#131313	#2a84d2	#434547	#d6dbe5	#f81118	#ecba0f	#4e5ab7	#131313	#212121	#1a1a1a
builtin-dark	false	#0d0dc8	#00bb00	#bbbbbb	#000000	#0d0dc8	#555555	#555555	#bb0000	#bbbb00	#bb00bb	#000000	#0f0f0f	#070707
builtin-light	true	#0000bb	#00bb00	#000000	#ffffff	#0000bb	#555555	#555555	#bb0000	#bbbb00	#bb00bb	#ffffff	#efefef	#f7f7f7
builtin-pastel-dark	false	#96cbfe	#a8ff60	#bbbbbb	#000000	#96cbfe	#7c7c7c	#7c7c7c	#ff6c60	#ffffb6	#ff73fd	#000000	#0f0f0f	#070707
builtin-tango-dark	false	#3465a4	#4e9a06	#ffffff	#000000	#3465a4	#555753	#555753	#cc0000	#c4a000	#75507b	#000000	#0f0f0f	#070707
builtin-tango-light	true	#3465a4	#4e9a06	#000000	#ffffff	#3465a4	#555753	#555753	#cc0000	#c4a000	#75507b	#ffffff	#efefef	#f7f7f7
c64	false	#6657b3	#55a049	#7869c4	#40318d	#6657b3	#000000	#000000	#a2524c	#bfce72	#984ca3	#40318d	#4b3d93	#453790
calamity	false	#3b79c7	#a5f69c	#d5ced9	#2f2833	#3b79c7	#7e6c88	#7e6c88	#fc644d	#e9d7a5	#f92672	#2f2833	#3b343f	#352e39
carbonfox	false	#78a9ff	#25be6a	#f2f4f8	#161616	#78a9ff	#484848	#484848	#ee5396	#08bdba	#be95ff	#161616	#232323	#1c1c1c
catppuccin-frappe	false	#8caaee	#a6d189	#c6d0f5	#303446	#8caaee	#626880	#626880	#e78284	#e5c890	#f4b8e4	#303446	#3c4051	#363a4b
catppuccin-latte	true	#1e66f5	#40a02b	#4c4f69	#eff1f5	#1e66f5	#6c6f85	#6c6f85	#d20f39	#df8e1d	#ea76cb	#eff1f5	#e0e2e6	#e7e9ed
catppuccin-macchiato	false	#8aadf4	#a6da95	#cad3f5	#24273a	#8aadf4	#5b6078	#5b6078	#ed8796	#eed49f	#f5bde6	#24273a	#313345	#2a2d3f
catppuccin-mocha	false	#89b4fa	#a6e3a1	#cdd6f4	#1e1e2e	#89b4fa	#585b70	#585b70	#f38ba8	#f9e2af	#f5c2e7	#1e1e2e	#2b2b3a	#242434
cga	false	#0d0db7	#00aa00	#aaaaaa	#000000	#0d0db7	#555555	#555555	#aa0000	#aa5500	#aa00aa	#000000	#0f0f0f	#070707
chalk	false	#2a7fac	#789b6a	#d2d8d9	#2b2d2e	#2a7fac	#888888	#888888	#b23a52	#b9ac4a	#bd4f5a	#2b2d2e	#37393a	#313334
chalkboard	false	#7372c3	#72c373	#d9e6f2	#29262f	#7372c3	#585858	#585858	#c37372	#c2c372	#c372c2	#29262f	#35333b	#2f2c35
challenger-deep	false	#65b2ff	#62d196	#cbe1e7	#1e1c31	#65b2ff	#565575	#565575	#ff5458	#ffb378	#906cff	#1e1c31	#2b293d	#242237
chester	false	#288ad6	#16c98d	#ffffff	#2c3643	#288ad6	#6f6b68	#6f6b68	#fa5e5b	#ffc83f	#d34590	#2c3643	#38424e	#323c48
ciapre	false	#576d8c	#48513b	#aea47a	#191c27	#576d8c	#555555	#555555	#8e0d16	#cc8b3f	#724d7c	#191c27	#262933	#1f222d
citruszest	false	#00bfff	#00cc7a	#bfbfbf	#121212	#00bfff	#808080	#808080	#ff5454	#ffd400	#ff90fe	#121212	#202020	#191919
clrs	true	#135cd0	#328a5d	#262626	#ffffff	#135cd0	#555753	#555753	#f8282a	#fa701d	#9f00bd	#ffffff	#efefef	#f7f7f7
cobalt-neon	false	#8ff586	#3ba5ff	#8ff586	#142838	#8ff586	#fff688	#fff688	#ff2320	#e9e75c	#781aa0	#142838	#223443	#1b2e3d
